SUBJECT,PREHEADER,CLICKS_TO_KICKS,performance,CTR,CLICKS,OPENS,DELIVERIES,SPAMS,UNSUBS,KICKS,subject_length,length_category,reward_amount,negative_count,positive_count,has_closing_soon,has_treatment,has_cancer,has_colon,has_ampersand,has_metabolic,is_oncology,recommendations
Patients with obesity and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,91.0,🌟 Excellent (≥40),0.3138,91,234,290,0,1,1,52,Optimal (51-60),75.0,0,1,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
UCHealth Brand Assessment and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,75.0,🌟 Excellent (≥40),0.1228,375,1706,3055,0,5,5,56,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Epinephrine Research and Other Survey Opportunities,Earn up to $95.00 Today via Rewards Card,73.5,🌟 Excellent (≥40),0.1218,147,747,1207,0,2,2,51,Optimal (51-60),95.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Sleep Apnea and Other Survey Opportunities,Earn up to $25.00 Today via Rewards Card,71.0,🌟 Excellent (≥40),0.1241,71,364,572,0,1,1,56,Optimal (51-60),25.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Prescribing Contraceptives and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,66.78,🌟 Excellent (≥40),0.1099,601,3067,5467,1,8,9,57,Optimal (51-60),60.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
hyperphosphatemia management and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,66.0,🌟 Excellent (≥40),0.147,66,294,449,1,0,1,59,Optimal (51-60),75.0,0,1,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
involved in the treatment and prescribing Rinvoq and/or Skyrizi for RA/PsO/CD/UC patients and Other Survey Opportunities,Earn up to $135.00 Today via Rewards Card,66.0,🌟 Excellent (≥40),0.1961,132,498,673,0,2,2,120,Too Long (76+),135.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 120) | 💰 LOWER reward to $60-90 range (currently $135)
Sleep Apnea and Other Survey Opportunities,Earn up to $25.00 Today via Rewards Card,64.5,🌟 Excellent (≥40),0.1111,129,760,1161,0,2,2,42,Short (≤50),25.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Research on Hemophilia and Other Survey Opportunities,Earn up to $95.00 Today via Rewards Card,64.0,🌟 Excellent (≥40),0.0273,64,1093,2346,0,1,1,53,Optimal (51-60),95.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Treating AML and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,63.0,🌟 Excellent (≥40),0.0253,63,1108,2490,0,1,1,43,Short (≤50),115.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Chronic Spontaneous Urticaria (CSU) Treatment and Other Survey Opportunities,Earn up to $50.00 Today via Rewards Card,62.0,🌟 Excellent (≥40),0.0748,62,565,829,1,0,1,90,Too Long (76+),50.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 90)"
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $175.00 Today via Rewards Card,61.0,🌟 Excellent (≥40),0.1359,122,644,898,0,2,2,62,Long (61-75),175.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $175)
Chronic Weight Management and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,59.0,🌟 Excellent (≥40),0.2193,59,190,269,0,1,1,56,Optimal (51-60),75.0,0,2,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Preeclampsia Treatment and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,58.0,🌟 Excellent (≥40),0.0704,58,457,824,0,1,1,67,Long (61-75),75.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 67)"
Closing Soon: Atrial Fibrillation (AFib) and Other Survey Opportunities,Earn up to $50.00 Today via Rewards Card,58.0,🌟 Excellent (≥40),0.0839,58,444,691,0,1,1,71,Long (61-75),50.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 71)"
Clinical Trial Preferences and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,53.5,🌟 Excellent (≥40),0.1358,107,494,788,1,1,2,57,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Experience With Highmark BC Insurance and Other Survey Opportunities,Earn up to $20.00 Today via Rewards Card,52.43,🌟 Excellent (≥40),0.0988,367,2053,3713,1,6,7,68,Long (61-75),20.0,0,1,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 68)
Prostate & Bladder Cancer and Other Survey Opportunities,Earn up to $50.00 Today via Rewards Card,52.0,🌟 Excellent (≥40),0.0269,52,1161,1936,0,1,1,56,Optimal (51-60),50.0,1,1,0,0,1,0,1,0,1,❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact)
weight management and T2D - Low GLP prescribers and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,48.83,🌟 Excellent (≥40),0.1875,293,1070,1563,0,6,6,78,Too Long (76+),60.0,0,2,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 78)
ADHD - Pediatric treaters and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,47.5,🌟 Excellent (≥40),0.1073,190,1019,1770,1,3,4,56,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
New Product Profile Evaluation & Feedback and Other Survey Opportunities,Earn up to $37.50 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0307,45,642,1466,0,1,1,72,Long (61-75),37.5,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 72)
Closing Soon: update and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0312,45,896,1441,0,1,1,51,Optimal (51-60),65.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Diabetes study and Other Survey Opportunities,Earn up to $119.00 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0674,45,382,668,0,1,1,45,Short (≤50),119.0,0,1,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Lymphoma Study and Other Survey Opportunities,Earn up to $260.00 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0293,90,1432,3073,0,2,2,59,Optimal (51-60),260.0,2,0,1,0,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $260)"
Closing Soon: Lung Cell Cancer and Other Survey Opportunities,Earn up to $130.00 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0332,45,685,1357,0,1,1,61,Long (61-75),130.0,3,0,1,0,1,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact)"
Closing Soon: ATTR Amyloidosis Patient Treatment and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,45.0,🌟 Excellent (≥40),0.0736,45,368,611,0,1,1,79,Too Long (76+),75.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 79)"
Treatment of cardiovascular conditions and Other Survey Opportunities,Earn up to $70.00 Today via Rewards Card,44.67,🌟 Excellent (≥40),0.088,134,774,1523,0,3,3,69,Long (61-75),70.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 69)
Kidney Disease Treatment and Other Survey Opportunities,Earn up to $80.00 Today via Rewards Card,44.2,🌟 Excellent (≥40),0.0426,221,2833,5187,1,4,5,55,Optimal (51-60),80.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Medications for weight management and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,44.0,🌟 Excellent (≥40),0.1023,44,272,430,0,1,1,78,Too Long (76+),90.0,2,3,1,0,0,1,0,1,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 78)"
CAH patient populations and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,44.0,🌟 Excellent (≥40),0.0508,440,4219,8668,1,9,10,54,Optimal (51-60),30.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
B cell Lymphoma and Other Survey Opportunities,Earn up to $95.00 Today via Rewards Card,43.5,🌟 Excellent (≥40),0.0383,87,1100,2270,1,1,2,46,Short (≤50),95.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact)
Experience With Highmark BC Insurance and Other Survey Opportunities,Earn up to $25.00 Today via Rewards Card,41.83,🌟 Excellent (≥40),0.0684,251,2022,3667,0,6,6,68,Long (61-75),25.0,0,1,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 68)
CHEST 2025 Annual Meeting and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,41.0,🌟 Excellent (≥40),0.0533,41,371,769,0,1,1,56,Optimal (51-60),90.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Physician Input on Prioritizing Hospital Improvements and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,41.0,🌟 Excellent (≥40),0.0721,82,600,1137,0,2,2,84,Too Long (76+),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 84)
Biliary Tract Cancer Treatments and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,41.0,🌟 Excellent (≥40),0.0108,41,1612,3785,0,1,1,62,Long (61-75),30.0,1,0,0,0,1,0,0,0,1,❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: NSCLC Treatments and Other Survey Opportunities,Earn up to $130.00 Today via Rewards Card,40.0,🌟 Excellent (≥40),0.0252,40,798,1589,0,1,1,61,Long (61-75),130.0,2,0,1,0,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact)"
Treatment for Transthyretin-mediated (ATTR) amyloidosis and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,39.67,✅ Very Good (25-39),0.0761,119,906,1563,0,3,3,86,Too Long (76+),65.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 86)
Epinephrine Research and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,39.0,✅ Very Good (25-39),0.1158,117,545,1010,0,3,3,51,Optimal (51-60),60.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Sleep Disorders and Other Survey Opportunities,Earn up to $145.00 Today via Rewards Card,38.0,✅ Very Good (25-39),0.0523,38,377,727,0,1,1,46,Short (≤50),145.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $145)
Closing Soon: Hepatitis C (HCV) and Other Survey Opportunities,Earn up to $105.00 Today via Rewards Card,38.0,✅ Very Good (25-39),0.0927,76,394,820,1,1,2,62,Long (61-75),105.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
NSCLC Treatments and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,37.5,✅ Very Good (25-39),0.0258,75,1333,2905,0,2,2,47,Short (≤50),115.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Cardiovascular Disease Risk Factors and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,37.5,✅ Very Good (25-39),0.0533,75,791,1408,0,2,2,80,Too Long (76+),40.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 80)"
acromegaly and Other Survey Opportunities,Earn up to $50.00 Today via Rewards Card,37.0,✅ Very Good (25-39),0.0253,37,664,1461,0,1,1,41,Short (≤50),50.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Involved in care of people with obesity (PwO) in Endocrinology and Gastroenterology Offices and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,37.0,✅ Very Good (25-39),0.2229,37,123,166,0,1,1,122,Too Long (76+),65.0,0,1,0,0,0,0,0,1,0,⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 122)
Closing Soon: Experience With Highmark BC Insurance and Other Survey Opportunities,Earn up to $20.00 Today via Rewards Card,36.0,✅ Very Good (25-39),0.0628,144,1265,2293,1,3,4,82,Too Long (76+),20.0,2,1,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 82)"
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $185.00 Today via Rewards Card,36.0,✅ Very Good (25-39),0.1488,72,357,484,0,2,2,62,Long (61-75),185.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $185)
Pediatric Oncology Referral Preferences and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,35.8,✅ Very Good (25-39),0.1155,179,832,1550,0,5,5,70,Long (61-75),75.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 70)
Cardiovascular Disease Risk Factors and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,34.33,✅ Very Good (25-39),0.1664,103,386,619,0,3,3,66,Long (61-75),30.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 66)
Closing Soon: Lymphoma Treatments and Other Survey Opportunities,Earn up to $145.00 Today via Rewards Card,34.0,✅ Very Good (25-39),0.0369,374,4550,10143,0,11,11,64,Long (61-75),145.0,2,0,1,0,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $145)"
Closing Soon: Lung Cell Cancer and Other Survey Opportunities,Earn up to $275.00 Today via Rewards Card,34.0,✅ Very Good (25-39),0.0368,34,467,925,0,1,1,61,Long (61-75),275.0,3,0,1,0,1,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $275)"
New InCrowd Micro Survey and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,33.0,✅ Very Good (25-39),0.0225,66,1246,2936,0,2,2,55,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Mycosis Fungoides and Sézary Syndrome and Other Survey Opportunities,Earn up to $20.00 Today via Rewards Card,33.0,✅ Very Good (25-39),0.0965,33,229,342,0,1,1,68,Long (61-75),20.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 68)
Closing Soon: Contraceptives and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,33.0,✅ Very Good (25-39),0.0704,66,554,937,0,2,2,59,Optimal (51-60),60.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Ocular Treatment and Other Survey Opportunities,Earn up to $105.00 Today via Rewards Card,33.0,✅ Very Good (25-39),0.0467,165,2105,3531,0,5,5,47,Short (≤50),105.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Hyperlipidemia and Other Survey Opportunities,Earn up to $80.00 Today via Rewards Card,32.5,✅ Very Good (25-39),0.1148,65,403,566,1,1,2,45,Short (≤50),80.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
HNSCC and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,32.25,✅ Very Good (25-39),0.0263,258,4482,9794,0,8,8,36,Short (≤50),115.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
update and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,32.0,✅ Very Good (25-39),0.0408,64,1017,1567,0,2,2,37,Short (≤50),65.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Short study on Lipid Disorders/Conditions and Other Survey Opportunities,Earn up to $50.00 Today via Rewards Card,32.0,✅ Very Good (25-39),0.0361,32,450,887,0,1,1,72,Long (61-75),50.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 72)
Lab Testing Frequency and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,31.0,✅ Very Good (25-39),0.2743,31,70,113,0,1,1,52,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Sleep Apnea and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,31.0,✅ Very Good (25-39),0.065,31,269,477,0,1,1,42,Short (≤50),40.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: mRCC Manufacturer Perception and Other Survey Opportunities,Earn up to $100.00 Today via Rewards Card,31.0,✅ Very Good (25-39),0.0216,31,655,1437,0,1,1,73,Long (61-75),100.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 73)"
Healthcare System Perceptions and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,30.5,✅ Very Good (25-39),0.121,122,587,1008,0,4,4,60,Optimal (51-60),30.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
RSV and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,30.0,✅ Very Good (25-39),0.0495,30,291,606,0,1,1,34,Short (≤50),90.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Cardiovascular Disease Risk Factors and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,30.0,✅ Very Good (25-39),0.0789,90,668,1140,0,3,3,80,Too Long (76+),30.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 80)"
